exp11_11_2,Number of Total Clusters
Area of Cluster395,2.5
Area of Cluster396,2.5
Area of Cluster397,2.5
Area of Cluster398,2.5
Area of Cluster399,2.5
Area of Cluster400,2.5
Area of Cluster401,2.5
Area of Cluster402,2.5
Area of Cluster403,2.5
Area of Cluster404,3.0
Area of Cluster405,3.0
Area of Cluster406,3.0
Area of Cluster407,3.0
Area of Cluster408,3.0
Area of Cluster409,3.0
Area of Cluster410,3.0
Area of Cluster411,3.0
Area of Cluster412,3.0
Area of Cluster413,3.0
Area of Cluster414,3.0
Area of Cluster415,3.0
Area of Cluster416,3.0
Area of Cluster417,3.0
Area of Cluster418,3.0
Area of Cluster419,3.0
Area of Cluster420,3.0
Area of Cluster421,3.0
Area of Cluster422,3.0
Area of Cluster423,3.0
Area of Cluster424,3.0
Area of Cluster425,3.0
Area of Cluster426,3.0
Area of Cluster427,3.0
Area of Cluster428,3.0
Area of Cluster429,3.5
Area of Cluster430,3.5
Area of Cluster431,3.5
Area of Cluster432,3.5
Area of Cluster433,3.5
Area of Cluster434,3.5
Area of Cluster435,3.5
Area of Cluster436,3.5
Area of Cluster437,3.5
Area of Cluster438,3.5
Area of Cluster439,3.5
Area of Cluster440,3.5
Area of Cluster441,3.5
Area of Cluster442,3.5
Area of Cluster443,3.5
Area of Cluster444,3.5
Area of Cluster445,3.5
Area of Cluster446,3.5
Area of Cluster447,3.5
Area of Cluster448,3.5
Area of Cluster449,4.0
Area of Cluster450,4.0
Area of Cluster451,4.0
Area of Cluster452,4.0
Area of Cluster453,4.0
Area of Cluster454,4.0
Area of Cluster455,4.0
Area of Cluster456,4.0
Area of Cluster457,4.0
Area of Cluster458,4.0
Area of Cluster459,4.0
Area of Cluster460,4.0
Area of Cluster461,4.0
Area of Cluster462,4.0
Area of Cluster463,4.0
Area of Cluster464,4.0
Area of Cluster465,4.0
Area of Cluster466,4.0
Area of Cluster467,4.0
Area of Cluster468,4.0
Area of Cluster469,4.5
Area of Cluster470,4.5
Area of Cluster471,4.5
Area of Cluster472,4.5
Area of Cluster473,4.5
Area of Cluster474,4.5
Area of Cluster475,4.5
Area of Cluster476,4.5
Area of Cluster477,4.5
Area of Cluster478,4.5
Area of Cluster479,5.0
Area of Cluster480,5.0
Area of Cluster481,5.0
Area of Cluster482,5.0
Area of Cluster483,5.0
Area of Cluster484,5.0
Area of Cluster485,5.0
Area of Cluster486,5.0
Area of Cluster487,5.5
Area of Cluster488,5.5
Area of Cluster489,5.5
Area of Cluster490,5.5
Area of Cluster491,5.5
Area of Cluster492,5.5
Area of Cluster493,5.5
Area of Cluster494,5.5
Area of Cluster495,5.5
Area of Cluster496,6.0
